Company Name,Sales,Operating Income,Net Income,Operating CF,,단위: 억 원
,"1,414 ",309 ,279 ,-82 ,<-,22년
노바텍,259 ,67 ,69 ,63 ,<-,18년
,261 ,55 ,55 ,52 ,<-,19년
,679 ,293 ,271 ,289 ,<-,20년
,905 ,329 ,347 ,223 ,<-,21년
,"1,105 ",265 ,143 ,437 ,<-,22년
하이록코리아,"1,243 ",108 ,122 ,95 ,<-,18년
,"1,421 ",149 ,136 ,231 ,<-,19년
,"1,382 ",162 ,65 ,237 ,<-,20년
,"1,467 ",189 ,195 ,283 ,<-,21년
,"1,829 ",407 ,344 ,197 ,<-,22년
나무가,"3,111 ",39 ,36 ,260 ,<-,18년
,"3,621 ",27 ,-6 ,104 ,<-,19년
,"5,118 ",-23 ,-79 ,-19 ,<-,20년
,"5,029 ",230 ,160 ,239 ,<-,21년
,"5,193 ",324 ,313 ,770 ,<-,22년
동국S&C,"3,631 ",-54 ,-114 ,-511 ,<-,18년
,"3,178 ",142 ,90 ,137 ,<-,19년
,"2,947 ",107 ,38 ,731 ,<-,20년
,"3,788 ",183 ,241 ,-325 ,<-,21년
,"4,771 ",-114 ,-83 ,-442 ,<-,22년
테크윙,"1,937 ",251 ,186 ,395 ,<-,18년
,"1,869 ",244 ,113 ,205 ,<-,19년
,"2,282 ",379 ,329 ,251 ,<-,20년
,"2,559 ",362 ,171 ,24 ,<-,21년
,"2,675 ",577 ,332 ,682 ,<-,22년
아이디스,"1,092 ",3 ,43 ,-53 ,<-,18년
,"1,119 ",33 ,19 ,136 ,<-,19년
,"1,510 ",143 ,112 ,255 ,<-,20년
,"2,041 ",183 ,243 ,32 ,<-,21년
,"2,699 ",278 ,143 ,279 ,<-,22년
하이비젼시스템,"1,831 ",201 ,203 ,187 ,<-,18년
,"1,342 ",36 ,65 ,-144 ,<-,19년
,"1,832 ",128 ,98 ,149 ,<-,20년
,"2,729 ",435 ,453 ,592 ,<-,21년
,"1,977 ",251 ,246 ,-272 ,<-,22년
유니셈,"2,143 ",261 ,206 ,89 ,<-,18년
,"1,790 ",240 ,213 ,172 ,<-,19년
,"2,151 ",322 ,205 ,294 ,<-,20년
,"2,961 ",437 ,382 ,452 ,<-,21년
,"2,532 ",290 ,196 ,169 ,<-,22년
바디텍메드,662 ,65 ,-25 ,53 ,<-,18년
,728 ,150 ,119 ,172 ,<-,19년
,"1,441 ",660 ,483 ,446 ,<-,20년
,"1,577 ",519 ,474 ,499 ,<-,21년
,"1,181 ",247 ,253 ,231 ,<-,22년
유진기업,"14,510 ","1,309 ",266 ,764 ,<-,18년
,"14,578 ","1,280 ",196 ,461 ,<-,19년
,"11,363 ",454 ,499 ,654 ,<-,20년
,"13,453 ",554 ,783 ,"1,243 ",<-,21년
,"14,077 ",547 ,311 ,194 ,<-,22년
인텍플러스,161 ,-83 ,-65 ,-57 ,<-,18년
,405 ,47 ,54 ,17 ,<-,19년
,563 ,70 ,92 ,-11 ,<-,20년
,"1,197 ",275 ,226 ,-8 ,<-,21년
,"1,188 ",194 ,163 ,69 ,<-,22년
GST,"1,298 ",104 ,103 ,23 ,<-,18년
,"1,682 ",219 ,180 ,193 ,<-,19년
,"1,669 ",182 ,155 ,196 ,<-,20년
,"3,045 ",464 ,390 ,256 ,<-,21년
,"3,128 ",569 ,476 ,315 ,<-,22년
휴온스글로벌,"3,787 ",680 ,608 ,534 ,<-,18년
,"4,494 ",729 ,573 ,655 ,<-,19년
,"5,230 ",892 ,910 ,906 ,<-,20년
,"5,746 ",743 ,321 ,498 ,<-,21년
